,,,,,,,
Sr. No.,PS Number,Organization,Problem Statement Title,description,Category,Submitted Idea Count(s),Theme
1,SIH26001,Ministry of Development of North Eastern Region (MDoNER),AI-Based early warning and landslide Risk Monitoring System in NER,"Develop an AI-driven real-time early warning system to predict and monitor landslide risks across vulnerable terrains in the North Eastern Region using topographical, geological, and meteorological data.",Software,0/500,Disaster Management
2,SIH26002,Ministry of Development of North Eastern Region (MDoNER),Al-Based Smart Logistics and Accessibility Intelligence Platform for North Eastern Region (NER),Build an intelligent logistics and accessibility platform leveraging AI to optimize multi-modal freight transport and supply chain connectivity across challenging terrains in the North Eastern Region.,Software,0/500,Transportation & Logistics
3,SIH26003,Ministry of Development of North Eastern Region (MDoNER),AI-Based Cognitive Gaming and Memory Assistance Platform for Elderly Dementia Patients in North Eastern Region (NER),Create an AI-powered cognitive gaming and interactive memory assistance digital application designed to stimulate mental agility and support dementia care for elderly patients in the NER.,Software,0/500,MedTech / BioTech / HealthTech
4,SIH26004,Ministry of Development of North Eastern Region (MDoNER),Al-Assisted Early Detection System for Osteoarthritis (OA) Risk Markers in North Eastern Region (NER),Develop a specialized diagnostic hardware-software system utilizing AI to identify early biomechanical and biochemical risk markers of osteoarthritis in patient populations across the NER.,Hardware,0/500,MedTech / BioTech / HealthTech
5,SIH26005,Ministry of Development of North Eastern Region (MDoNER),Solar-Powered Smart Mini Cold Storage System for Fresh Vegetables in North Eastern Region (NER),"Design an off-grid, solar-powered compact cold storage unit with smart temperature and humidity controls to minimize post-harvest spoilage for perishable vegetables grown by local farmers.",Hardware,0/500,"Agriculture, FoodTech & Rural Development"
6,SIH26006,Ministry of Steel,Development of an Intelligent Freight Forecasting Model for Optimized Vessel Chartering and Bulk Cargo Procurement from overseas to East Coast of India,"Develop an intelligent machine learning model to forecast maritime freight rates, enabling data-driven vessel chartering decisions and cost-effective bulk cargo imports to India's East Coast.",Software,0/500,Transportation & Logistics
7,SIH26007,Ministry of Steel,Safe and Efficient Operation of Mine Vehicles in Fog and Low-Visibility Conditions in Open Cast Iron Ore Mines.,Build an advanced collision avoidance and driver assistance hardware system using thermal imaging and radar to ensure the safe navigation of heavy mine vehicles during heavy fog.,Hardware,0/500,Smart Automation
8,SIH26008,Ministry of Steel,Belt Joint Rupture and Conveyor Belt Damages in Iron Ore Mining Industry: Intelligent Monitoring and Prediction of Conveyor Belt Joint Rupture and Damages in Iron Ore Mining Industry.,"Engineer an IoT-enabled vibration and acoustic sensor system combined with predictive algorithms to detect belt joint stress, wear, and tear before catastrophic conveyor failure occurs.",Hardware,0/500,Smart Automation
9,SIH26009,Ministry of Steel,Using AI/ML and Space Technology to Identify Manganese Reserves and Overcome Production Shortfalls.,Implement AI and satellite remote sensing models to analyze geological and spectral data to identify high-potential unexplored manganese mineral reserves across India.,Software,0/500,Space Technology
10,SIH26010,Ministry of Rural Development,Survey/Resurvey of Rural Agricultural Land in lndia,"Design an automated field-ready surveying instrument combining GNSS and digital imaging to enable rapid, high-accuracy cadastral resurveying and boundary mapping of rural agricultural lands.",Hardware,0/500,"Agriculture, FoodTech & Rural Development"
11,SIH26011,Ministry of Rural Development,3D ULPIN Generation and vertical Property Mapping SYstem,Build a 3D cadastral GIS platform that generates Unique Land Parcel Identification Numbers (ULPIN) and maps multi-story vertical property rights in complex built environments.,Software,0/500,Smart Automation
12,SIH26012,Ministry of Rural Development,AI-Based Automated Urban Parcel Mapping and Cadastral Feature Extraction System using Drone lmagery,"Develop a computer vision framework to automatically segment land parcels, extract cadastral boundaries, and map urban structures from high-resolution drone and aerial orthophotos.",Software,0/500,Smart Automation
13,SIH26013,Ministry of Rural Development,Automated lntegration and lntelligent Harmonization of Multi-source Geospatial Data for urban Land Record Management.,"Create an automated data pipeline to harmonize, cross-validate, and integrate heterogeneous geospatial datasets from various municipal departments into a unified urban land registry.",Software,0/500,Smart Automation
14,SIH26014,Ministry of Rural Development,An lntegrated GIS-based Digital Public lnfrastructure for Land Governance,"Build an integrated, open-standard GIS-based digital public infrastructure for transparent land administration, spatial planning, and citizen-facing title verification services.",Software,0/500,"Agriculture, FoodTech & Rural Development"
15,SIH26015,Ministry of Rural Development,Application of Geospatial Techniques for visualization and analysis to interpret Geo-Coded lmages to enhance watershed Development Outcomes.,"Develop geospatial analysis and visualization tools to interpret temporal geo-coded satellite imagery, assessing soil moisture, vegetation cover, and water retention across watershed areas.",Software,0/500,"Agriculture, FoodTech & Rural Development"
16,SIH26016,Ministry of Rural Development,Real-Time National Land Acquisition & Management System for End-to-End Digital Monitoring and Decision Support,"Implement a nationwide digital platform for end-to-end monitoring of public land acquisition workflows, compensation disbursements, and project milestone tracking.",Software,0/500,Smart Automation
17,SIH26017,Ministry of Rural Development,Predictive Analytics System for Early Detection of Land Acquisition Delays,Create a predictive analytics engine using historical project data to flag procedural bottlenecks and anticipate schedule delays in land acquisition and statutory clearances.,Software,0/500,Smart Automation
18,SIH26018,Ministry of Rural Development,Intelligent Land Record Digitization and Validation System,"Build an intelligent OCR and natural language processing tool to transcribe, validate, and convert archaic physical land records and maps into structured, searchable digital data.",Software,0/500,Smart Automation
19,SIH26019,Ministry of Rural Development,"National Digital Platform for Research, Policy Innovation, and Evidence-Based Land Governance","Develop a comprehensive data repository and analytical dashboard to aggregate land governance data, facilitating policy research, simulation, and evidence-based decision-making.",Software,0/500,Smart Automation
20,SIH26020,Ministry of MSME,Design and Development of Innovative Hand-Spinning Equipment for Enhancing Khadi Artisan Productivity and Income,"Engineer an ergonomic, motorized or geared hand-spinning charkha that increases yarn output and quality while reducing physical strain for rural Khadi artisans.",Hardware,0/500,"Agriculture, FoodTech & Rural Development"
21,SIH26021,Ministry of MSME,Honey Chain: A block chain-based system for honey traceability and smart beekeeping management.,"Create a blockchain-enabled traceability platform paired with IoT hive sensors to authenticate honey purity, trace source apiaries, and optimize beekeeping management.",Software,0/500,"Agriculture, FoodTech & Rural Development"
22,SIH26022,Ministry of MSME,"Design and develop a smart, solar-powered drying and compact packaging system to support home-based agarbatti manufacturing by rural women artisans.",Develop a clean solar-powered compact drying chamber and sealing system to allow rural home-based women artisans to produce and package high-quality incense sticks efficiently.,Hardware,0/500,"Agriculture, FoodTech & Rural Development"
23,SIH26023,Ministry of Coal,"AI-Powered Geological, Mining and other Reporting Solution for CMPDI/CIL subsidiaries","Implement an AI reporting solution to ingest core borehole logs, geophysical charts, and mine production data to generate automated statutory and geological reports.",Software,0/500,Smart Automation
